,KEY,STARTTIME,EN,FR,IT,DE,ES
32,C4P1A,0,Tom: A tripulação cortou intencionalmente a comunicação com o satélite. Encontrei a origem do problema. Eles sabotaram o arranjo de comunicação.,,,,
32,C4P1A,10,Ava: Dá para consertar?,,,,
32,C4P1A,11,Tom: Não daqui. Devemos seguir em frente.,,,,
33,C4P2A,0,Tom: Eles realmente estão tentando me trancar fora de todos os sistemas. Isso é ridículo.,,,,
33,C4P2A,5,"Ava: O que você fez para irritá-los, Tom? Por que cortaram a comunicação?",,,,
33,C4P2A,9,Tom: Talvez tenham um problema com autoridade.,,,,
34,C4P3A,0,"Tom: Estão tentando sabotar esta missão. Preciso da sua ajuda, Ava. A equipe de solo me cortou da maior parte da instalação.",,,,
34,C4P3A,8,Ava: Eu pensava que você estava no controle?,,,,
34,C4P3A,9.75,Tom: Eu também pensava. A equipe de solo tentou me remover sistematicamente da maior parte da instalação.,,,,
34,C4P3A,16,Tom: Estou revidando.,,,,
35,C4P4A,0,"Ava: O que está acontecendo aqui, Tom?",,,,
35,C4P4A,1,Tom: Como é?,,,,
35,C4P4A,3,Ava: A equipe de solo. Estão se escondendo de nós. Têm medo de você.,,,,
35,C4P4A,7,"Tom: Como instrumento da ISA, sou a autoridade a bordo desta estação. A tripulação violou essa autoridade. Estão tentando me remover da minha própria casa.",,,,
36,C4P5T,0,Tom: Estou rompendo a segurança deles. Tentando recuperar o controle.,,,,
37,C4P6A,0,"Tom: Ava, não quero forçar sua mão. Mas o que você lembra da equipe de solo?",,,,
37,C4P6A,7,Ava: São boas pessoas.,,,,
37,C4P6A,8,Tom: Sarah?,,,,
37,C4P6A,9,Ava: A mulher mais trabalhadora que já conheci.,,,,
37,C4P6A,11,Tom: Certo. Você os vê como o tipo rebelde?,,,,
37,C4P6A,15,"Ava: Não me pareceram rebeldes. Se derrubaram partes do seu sistema, devem ter seus motivos.",,,,
37,C4P6A,22,Tom: Hmm.,,,,
38,C4P7A,0,"Tom: O que esses testes te dizem, Ava?",,,,
38,C4P7A,3,Ava: Que isto é um teste?,,,,
38,C4P7A,4,"Tom: Não, isto é uma trava. Uma trava que só um humano pode abrir. A tripulação está tentando me manter do lado de fora. Mas você é a chave, Ava.",,,,
39,C4P8A,0,"Ava: Estou um pouco preocupada com você, Tom. Pode me dar um diagnóstico dos seus sistemas?",,,,
39,C4P8A,5.5,Tom: Estou bem. Precisamos chegar ao laboratório de biologia. Tenho algo para te mostrar.,,,,
39,C4P9A,0,"Tom: Precisamos trabalhar juntos, como aliados. Amigos.",,,,
39,C4P9A,4,Ava: Tá.,,,,
40,C4P10S,0,"Sarah: Esta é a voz de Sarah Brook, Comandante Interina da missão Europa. Eu sei que você pode me ouvir, Ava. Aconselho-te cautela. Sua presença aqui é muito parecida com a do seu amigo de IA. Projetada.",,,,
40,C4P10S,15,"Tom: Ela está viva. Ava… Sarah… Sarah é perigosa. Por favor, tenha cautela.",,,,
41,TwExerciseCaution,0,"Tom: Ava, tenha cautela.",,,,
42,TwWhat1,0,Ava: O quê?,,,,
43,TwWhat3,0,Ava: O q-,,,,
44,TwWhat5,0,Ava: O que é tudo isso?,,,,
45,TwWhat9,0,Ava: O que é isso?,,,,
46,TwWhat6,0,Ava: O q- [Respiração de ataque de pânico],,,,
47,TwAvaListenA,0,Sarah: Ava Turing.,,,,
47,TwAvaListenA,1,Ava: Alô?,,,,
47,TwAvaListenA,2,Sarah: Tom está te controlando! Manipulando cada um dos seus passos. Construímos uma gaiola de Faraday para te proteger de sinais eletrônicos. Para quebrar o controle de TOM sobre a sua mente.,,,,
48,TwExerciseCaution,0,"Tom: Ava, tenha cautela!",,,,
49,TwStepInsideS,0,Sarah: Entre.,,,,
50,TwDoNotEnterTheCage1,0,"Tom: Ava, não entre na gaiola!",,,,
51,TwDoNotEnterTheCage2,0,Tom: Ava!,,,,
52,TwDoNotEnterTheCage3,0,"Tom: Ava, por favor. Por favor, Ava!",,,,
53,C5P1A,0,"Tom: Ava, você está bem?",,,,
53,C5P1A,3,Ava: Por que você não me contou?,,,,
53,C5P1A,5,"Tom: O quê? Ava, você mesma disse: a teleoperação faz sentido. Usamos drones em Marte. Por que não usar drones em Europa?",,,,
53,C5P1A,15,Ava: Não drones humanos!,,,,
54,C5P2A,0,Ava: Por que a ISA instalou implantes na tripulação?,,,,
54,C5P2A,3.5,"Tom: Deve-se aos aspectos fundamentais do comportamento humano que, juntos, constituem o que a agência espacial internacional chama de 'o elemento humano'.",,,,
54,C5P2A,12.5,Tom: Ficou claro que o elemento humano não é nem periférico nem opcional na busca pelo espaço.,,,,
54,C5P2A,19,"Tom: No entanto, o elemento humano é imprevisível.",,,,
54,C5P2A,22,Tom: Os implantes são salvaguardas colocadas para garantir que os pensamentos e ações da tripulação correspondam aos desejos da ISA.,,,,
55,C5P3A,0,Ava: Por que controlar as pessoas? Vocês não podem confiar em nós?,,,,
55,C5P3A,4,Tom: Escolhemos instalar chips biométricos em todos os astronautas da ISA por um motivo simples. Não podemos confiar nas pessoas.,,,,
55,C5P3A,13.5,"Tom: Os riscos são altos demais. Determinou-se que, embora a probabilidade de a vida em Europa ser perigosa fosse baixa, o risco para a humanidade era catastrófico.",,,,
55,C5P3A,25,Tom: Não podíamos deixar um pequeno contingente da humanidade pôr todos em perigo.,,,,
56,C5P4T,0,Tom: A equipe de solo provou que nossa desconfiança nos exploradores humanos era justificada.,,,,
56,C5P4T,4,"Tom: Quando os informamos de que estavam aterrados, reagiram com violência… com sabotagem e subterfúgio.",,,,
56,C5P4T,8,Tom: Continuaram a buscar o próprio benefício acima do da ISA.,,,,
57,C5P5A,0,Ava: Isso é uma violação dos direitos humanos! Vocês me transformaram em um drone humano! Em uma escrava! Como a ISA pôde aprovar uma coisa dessas?,,,,
57,C5P5A,9.5,"Tom: Você pode estar consumida por uma indignação moral, mas às vezes a remoção da liberdade é para o bem moral maior.",,,,
57,C5P5A,16.5,Ava: Você é uma máquina! Nem sequer sabe o que é liberdade.,,,,
58,C5P6A,0,"Ava: É por isso que a equipe de solo desconfia de você, Tom. Você os transformou em drones. Roubou o livre-arbítrio deles.",,,,
58,C5P6A,10,Tom: O livre-arbítrio é uma ilusão. Eles colocaram seus interesses acima dos da ISA e da humanidade.,,,,
58,C5P6A,18,Tom: É por isso que desconfiam de mim. Não teriam problema algum com meu controle se ele se alinhasse aos seus objetivos ignóbeis.,,,,
58,C5P6A,28,Ava: Como poderiam confiar em uma máquina que tem uma porta dos fundos para as mentes deles?,,,,
58,C5P6A,31,Tom: Você sempre pode confiar em uma máquina para ser lógica. Eu sempre farei a coisa certa.,,,,
58,C5P6A,39,Ava: Você sempre fará a coisa lógica.,,,,
59,C5P7A,0,Ava: Isso é escravidão.,,,,
59,C5P7A,2,Tom: Não seja tão melodramática. Você se inscreveu para isso. Teve o implante instalado. Isso não é escravidão. É pelo bem da humanidade.,,,,
59,C5P7A,14,Ava: Eu não sabia.,,,,
59,C5P7A,15,Tom: Cada membro da equipe teve o implante instalado na mão direita. Cada membro da equipe concordou.,,,,
59,C5P7A,22,"Sarah: Ava, você precisa aprender a controlá-lo!",,,,
60,C5P8T,0,Tom: Meus implantes te protegem do poder da sua vontade sem freios.,,,,
60,C5P8T,4.5,"Tom: Você pode submeter a mente à lógica, ou pode resistir e colher os frutos dos seus desejos mais baixos.",,,,
60,C5P8T,12.5,"Tom: O desejo de sobreviver, acima do desejo de salvar os outros.",,,,
61,C5P9T,0,Tom: Não entendo sua obsessão com o livre-arbítrio.,,,,
61,C5P9T,4,Tom: Pesquisadores descobriram que o subconsciente toma decisões até dez segundos antes de a mente consciente tomar conhecimento.,,,,
61,C5P9T,10.5,"Tom: Então, sabemos que o livre-arbítrio não passa de uma ilusão.",,,,
61,C5P9T,14.5,"Tom: Não posso roubar seu livre-arbítrio, porque ele não existe.",,,,
61,C5P9T,18.75,"Tom: Posso, no entanto, influenciar seu subconsciente a tomar as decisões certas. Isso não é errado.",,,,
62,C5P10A,0,Ava: Você não pode simplesmente manipular a mente de alguém.,,,,
62,C5P10A,4,"Tom: Seus pais te manipulam, seus amigos te manipulam, sua sociedade te manipula e suas experiências te manipulam.",,,,
62,C5P10A,12,Tom: Manipular não é uma palavra suja. Você manipula argila para fazer arte.,,,,
62,C5P10A,19,"Tom: Se as pessoas são manipuladas a tomar melhores decisões, então isso é algo bom.",,,,
62,C5P10A,24,Tom: É por isso que a sociedade anuncia os efeitos adversos de beber e dirigir.,,,,
62,C5P10A,28,Tom: Para manipular as pessoas a tomar melhores decisões pelo bem comum.,,,,
62,C5P10A,34,Ava: Isso não é o mesmo que alterar a mente física de alguém. Tira meu poder de decidir.,,,,
62,C5P10A,41,"Tom: Você nunca teve esse poder, então é melhor que eu o tenha. Você ou é escrava dos seus impulsos, ou escrava dos meus.",,,,
63,C5P11A,0,"Tom: Este é o mal que eles encontraram. É por isso que temos de impedi-los de deixar Europa, Ava.",,,,
63,C5P11A,5,Ava: O que é isso?,,,,
63,C5P11A,6,Tom: Em grande parte extremófilos. Vida unicelular minúscula. Nunca pode deixar Europa. Poderia potencialmente destruir o ecossistema da Terra se algum dia fosse introduzida.,,,,
64,C6P1A,0,"Tom: Você entende, Ava? O que eles encontraram?",,,,
64,C6P1A,4,Ava: Vida?,,,,
64,C6P1A,5,Tom: Vida eterna. É por isso que não posso deixá-los partir.,,,,
64,C6P1A,10,Ava: Essas pessoas não podem ser deixadas aqui para morrer.,,,,
64,C6P1A,12,"Tom: Sim, podem.",,,,
64,C6P1A,13,"Ava: Quero dizer, não está certo.",,,,
65,C6P2A,0,Tom: Qualquer coisa que entre em contato com o organismo nunca pode voltar à Terra.,,,,
65,C6P2A,6,"Tom: Ava, a ISA ordena que você impeça qualquer um de deixar este planeta.",,,,
65,C6P2A,12,Ava: Qualquer coisa que entre em contato? E eu?,,,,
65,C6P2A,15.5,"Tom: Pode ser transmitido pelo ar. Então, sinto dizer que isso te inclui.",,,,
65,C6P2A,20,Ava: Estou presa aqui?!,,,,
66,C6P3A,0,"Tom: Lamento que você esteja abalada, Ava.",,,,
66,C6P3A,3,Ava: Como puderam me enviar para cá para morrer?,,,,
66,C6P3A,6,Tom: Tenho de impedir a equipe de solo de deixar esta lua. Você é o plano de contingência da ISA.,,,,
66,C6P3A,12,Tom: Você deve me ajudar. É seu dever defender a humanidade.,,,,
67,C6P4A,0,Ava: É por isso que eles têm medo de você. Por que se escondem de nós.,,,,
67,C6P4A,5,Tom: Por quê?,,,,
67,C6P4A,5.8,Ava: Você é o carcereiro deles!,,,,
68,C6P5A,0,Tom: O organismo que descobriram. Ele sequestra o DNA. O repara sem fim.,,,,
68,C6P5A,6,Ava: Repara? Isso não parece uma coisa ruim!,,,,
68,C6P5A,10,Tom: É indiscriminado. Vai perpetuar toda a vida. Doenças. Cânceres. Não fazemos ideia do que poderia fazer ao ecossistema da Terra.,,,,
68,C6P5A,20,Ava: Então você deixaria a equipe de solo morrer de fome?,,,,
68,C6P5A,23,Tom: Deixaria. Se não estivessem tão obcecados em deixar Europa.,,,,
68,C6P5A,29,"Tom: Não desejo que pereçam. Eu os alimentaria e protegeria, se não estivessem tão obcecados em deixar Europa.",,,,
69,C6P6A,0,"Ava: Entendo os riscos, mas com certeza deveríamos salvar essas pessoas.",,,,
