,KEY,EN,FR,IT,DE,ES
37,NEW_PROFILE,O PERFIL ATIVO MUDOU - PRESSIONE #A PARA ESCOLHER COM QUAL PERFIL DE USUÁRIO DESEJA CONTINUAR,LE PROFIL ACTIF A CHANG> - APPUYER #A POUR SELECTIONNER LE PROFIL QUE VOULEZ CONTINUER AVEC,E' STATO CAMBIATO IL PROFILO ATTIVO - PREMI #A PER SCEGLIERE IL PROFILO CON CUI CONTINUARE,"DAS AKTIVE PROFIL HAT SICH GE$NDERT - #A DR}CKEN UM DAS BENUTZERPROFIL AUSZUW$HLEN, MIT DEM FORTGEFAHREN WERDEN SOLL",EL PERFIL ACTIVO HA CAMBIADO - PRESIONA #A PARA ELEGIR UN USUARIO CON EL QUE QUIERAS COTINUAR
38,STORAGE_ERROR_SYNC,OS DADOS LOCAIS NÃO ESTÃO SINCRONIZADOS COM O XBOX LIVE,LES INFORMATIONS LOCALES NE SONT PAS ZZZ JOUR AVEC XBOX LIVE,I DATI NON SONO SINCRONIZZATI CON XBOX LIVE,LOKALE DATEN SIND NICHT MIT XBOX LIVE SYNCHRONISIERT,DATOS LOCALES NO SINCRONIZADOS CON XBOX LIVE
39,STORAGE_ERROR_LOCAL_STORAGE_NOT_AVAILABLE,ARMAZENAMENTO LOCAL INDISPONÍVEL,ESPACE DE STOCKAGE LOCALE N'EST PAS DISPONNIBLE,DISPOSITIVO DI MEMORIZZAZIONE NON DISPONIBILE,LOKALER SPEICHER IST NICHT VERF}GBAR,ALMACENAMIENTO LOCAL NO DISPONIBLE
40,STORAGE_ERROR_UNEXPECTED_ERROR,ERRO INESPERADO NO DISPOSITIVO DE ARMAZENAMENTO LOCAL,UN ERREUR EST SURVENU AVEC L'ESPACE DE STOCKAGE LOCALE,ERRORE IMPREVISTO CON IL DISPOSITIVO DI MEMORIZZAZIONE,UNERWARTETER ERROR MIT LOKALEM SPEICHER,ERROR INESPERADO CON EL DISPOSITIVO DE ALMACENAMIENTO LOCAL
41,ERROR_TRY_AGAIN,PRESSIONE #A PARA TENTAR DE NOVO OU PRESSIONE #B PARA CONTINUAR,APPUYER #A POUR ESSAYEZ DE NOUVEAU OU APPUYER #B POUR CONTINUER,PREMI #A PER RIPROVARE O #B PER CONTINUARE,DR}CKE #A UM ERNEUT ZU VERSUCHEN ODER #B UM FORTZUFAHREN,PRESIONA #A PARA INTENTAR DE NUEVO O PRESIONA #B PARA CONTINUAR
42,ERROR_COULD_NOT_LOAD,NÃO FOI POSSÍVEL CARREGAR OS DADOS SALVOS - PRESSIONE #A PARA TENTAR DE NOVO OU PRESSIONE #B PARA INICIAR UM NOVO JOGO,UN ERREUR C'EST PRODUITE EN CHARGANT LES DONN>S APPUYER #A POUR ESSAYEZ DE NOUVEAU OU APPUYER #B POUR COMMENCER UNE NOUVELLE PARTIE,IMPOSSIBILE CARICARE I DATI SALVATI - PREMI #A PER RIPROVARE O #B PER INIZIARE UNA NUOVA PARTITA,LADEN GESPEICHERTER DATEN NICHT M&GLICH - DR}CKE #A UM ERNEUT ZU VERSUCHEN ODER #B UM EIN NEUES SPIEL ZU BEGINNEN,NO PUDO BAJAR DATOS LOCALES GUARDADOS -PRESIONA #A PARA INTENTAR DE NUEVO O PRESIONA #B PARA COMENZAR UN JUEGO NUEVO
43,PAUSE_MAIN_DEBUG,MENU DE DEBUG,MENU D>BOGUER,DEBUG MENU,DEBUG MENU,DEBUG MENU
44,PAUSE_DEBUG_SHOW_GAME_SAVE,MOSTRAR SALVAMENTO,VISIONNER LA SAUVEGARDE,MOSTRA I DATI SALVATI,SHOW SAVE,MOSTRAR GUARDADOS
45,PAUSE_DEBUG_RESET_GAME_SAVE,REINICIAR JOGO,REMISSE A Z>RO LA PARTIE,AZZERA IL GIOCO,RESET GAME,REINICIAR JUEGO
46,PAUSE_DEBUG_COMPLETE_ALL_GAME_SAVE,COMPLETAR TUDO,COMPLETTER TOUT,COMPLETA TUTTO,COMPLETE ALL ,COMPLETAR TODO
47,PAUSE_DEBUG_UNLOCK_ALL_GAME_SAVE,DESBLOQUEAR TUDO,D>BLOQUER TOUT,SBLOCCA TUTTO,UNLOCK ALL,DESBLOQUEAR TODO
48,PAUSE_DEBUG_SHOW_SAFE_AREAS,MOSTRAR ÁREAS SEGURAS,VOIR LES ENDROITS S>CURITAIRES,MOSTRA ZONE SICURE,SHOW SAFE AREAS,MOSTRAR AREAS SEGURAS
49,PAUSE_DEBUG_SKIP_TO_LEVEL,PULAR PARA O NÍVEL,PASSER PAR DESSUS UN NIVEAU,SALTA AL LIVELLO,SKIP TO LEVEL,IR A NIVEL
50,PAUSE_DEBUG_CHANGE_LOCALE,DEFINIR IDIOMA,METTRE LOCALE,SET LOCALE,SET LOCALE,SET LOCALE
51,PAUSE_DEBUG_SIM_BAD_LOAD,SIMULAR CARREGAMENTO RUIM,SIM BAD LOAD,SIM BAD LOAD,SIM BAD LOAD,SIM MALA DESCARGA
52,PAUSE_DEBUG_TOGGLE_DOF,DOF,DOF,DOF,DOF,DOF
53,PAUSE_DEBUG_TOGGLE_LONG_USERNAMES,NOME DE USUÁRIO FALSO,FAUX NOM D'UTILISATEUR,USERNAME FALSO,FAKE USERNAME,USUARIO FALSO
54,PAUSE_DEBUG_TOGGLE_AUTOBOT,AUTO BOT,AUTOMATIQUE IA,AUTO BOT,AUTO BOT,AUTO BOT
55,PAUSE_DEBUG_LAST_CHECKPOINT,ÚLTIMO CHECKPOINT,DERNIER POINT DE CONTRBBBLE,ULTIMO CHECKPOINT,LAST CHECKPOINT,ULTIMO CHECKPOINT
56,DOWNLOADING,BAIXANDO,TJJJLJJJCHARGEMENT,SCARICARE,DOWNLOADING,DESCARGAR DE
57,QUIT_TO_DESKTOP,SAIR PARA A ÁREA DE TRABALHO,,,,
58,BACK,VOLTAR,,,,
59,SETTINGS_SET_RES,RESOLUÇÃO,,,,
60,SETTINGS_TOGGLE_FULLSCREEN,TELA CHEIA,,,,
61,SETTINGS_TOGGLE_VSYNC,VSYNC,,,,
62,SETTINGS_APPLY,APLICAR,,,,
63,SETTINGS_DISPLAY_ADVANCED,AVANÇADO,,,,
64,SETTINGS_TOGGLE_ANTIALIASING,ANTI-ALIASING,,,,
65,SETTINGS_ANISOTROPIC_FILTERING,FILTRAGEM,,,,
66,PRESS_A_PC,PRESSIONE QUALQUER TECLA PARA COMEÇAR,,,,
67,USE_1_PC,USE O BOTÃO ESQUERDO DO MOUSE E W / S PARA INTERAGIR,,,,
68,USE_2_PC,USE O BOTÃO ESQUERDO DO MOUSE PARA INTERAGIR,,,,
69,USE_3_PC,PRESSIONE ESPAÇO PARA PULAR,,,,
70,HOLD_TEXT,SEGURE,,,,
